.meta.slug,.book_state,.title,.salesforce_abbreviation,.salesforce_name,.salesforce_book_id,.publish_date,.created,.updated,.book_subjects[0].subject_name,.is_ap,.cover_url,.title_image_url,.cover_color,.book_cover_text_color,.reverse_gradient,.print_isbn_10,.print_isbn_13,.print_softcover_isbn_10,.print_softcover_isbn_13,.digital_isbn_10,.digital_isbn_13,.ibook_isbn_10,.ibook_isbn_13,.ibook_volume_2_isbn_10,.ibook_volume_2_isbn_13,.license_url,.high_resolution_pdf_url,.low_resolution_pdf_url,.community_resource_url,.community_resource_feature_link_url,.community_resource_feature_text,.ibook_link,.ibook_link_volume_2,.webview_link,.webview_rex_link,.enable_study_edge,.bookshare_link,.amazon_coming_soon,.amazon_link,.kindle_link,.chegg_link,.bookstore_coming_soon,.comp_copy_available,.tutor_marketing_book,.last_updated_pdf,.adoptions,.savings,.cnx_id,.description
"introduction-intellectual-property","live","Introduction to Intellectual Property","Introduction to Intellectual Property","Introduction to Intellectual Property",,"2021-02-22","2021-02-02T12:26:00.220000-06:00","2022-07-27T13:09:00-05:00","Business",false,"https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_intellectual_property_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/IP_Title_.svg","yellow","dark_blue",false,,,,"978-1-951693-35-0",,"978-1-951693-34-3",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Introduction_to_Intellectual_Property_2PYaEdp.pdf",,"https://www.oercommons.org/groups/openstax-intellectual-property/5931/?__hub_id=27",,"","","","https://cnx.org/contents/1b4ee0ce-ee89-44fa-a5e7-a0db9f0c94b1","https://openstax.org/books/introduction-intellectual-property/pages/1-introduction",false,"",false,"","",,false,false,false,,14,319253,"1b4ee0ce-ee89-44fa-a5e7-a0db9f0c94b1","<p data-block-key=""a9fyn""><i>Introduction to Intellectual Property</i> provides a clear, effective introduction to patents, copyright, trademarks, and trade secrets. The text may be used by students and instructors in formal courses, as well as those applying intellectual property considerations to entrepreneurship, marketing, law, computer science, engineering, design, or other fields. The luminaries involved with this project represent the forefront of knowledge and experience, and the material offers considerable examples and scenarios, as well as exercises and references.</p><p data-block-key=""q0z3f""><i>Introduction to Intellectual Property</i> was originally developed by the Michelson 20MM Foundation, released under the title <i>The Intangible Advantage.</i></p><p data-block-key=""61nxd""><b>Presented by Gary K. Michelson, M.D.</b></p>"
"introduction-philosophy","live","Introduction to Philosophy","Introduction to Philosophy","Introduction to Philosophy",,"2022-06-15","2022-06-02T11:32:28.121000-05:00","2023-03-09T09:09:48.508455-06:00","Humanities",false,"https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_philosophy_webcard.svg","https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_philosophy_titlecard.svg","blue","white",false,,"978-1-711470-79-5",,"978-1-711470-78-8",,"978-1-951693-59-6",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Introduction_to_Philosophy-WEB_cszrKYp.pdf",,"https://www.oercommons.org/groups/openstax-introduction-to-philosophy/11573/?__hub_id=27",,"","","","https://cnx.org/contents/fe58be6f-3b61-4e16-b3b6-db6924f0b2f2","https://openstax.org/books/introduction-philosophy/pages/1-introduction",false,"",false,"","",,false,true,false,,,,"fe58be6f-3b61-4e16-b3b6-db6924f0b2f2","<p data-block-key=""3z0sx"">Designed to meet the scope and sequence of your course, <i>Introduction to Philosophy</i> surveys logic, metaphysics, epistemology, theories of value, and history of philosophy thematically. To provide a strong foundation in global philosophical discourse, diverse primary sources and examples are central to the design, and the text emphasizes engaged reading, critical thinking, research, and analytical skill-building through guided activities.</p>"
"introduction-political-science","live","Introduction to Political Science","Introduction to Political Science","Introduction to Political Science",,"2022-05-18","2022-05-04T11:24:47.272000-05:00",,"Social Sciences",false,"https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_political_science_webcard.svg","https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_political_science_titlecard.svg","orange","yellow",false,,"978-1-711470-68-9",,,,"978-1-951693-56-5",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Introduction_to_Political_Science_-_WEB.pdf",,"https://www.oercommons.org/groups/openstax-introduction-to-political-science/11316/?__hub_id=27",,"","","","https://cnx.org/contents/89060098-2918-4037-8ebe-d90622d7a6bf","https://openstax.org/books/introduction-political-science/pages/1-introduction",false,"",false,"","",,false,false,false,,,,"89060098-2918-4037-8ebe-d90622d7a6bf","<p data-block-key=""iq4ed"">Designed to meet the scope and sequence of your course, OpenStax<i> Introduction to Political Science</i> provides a strong foundation in global political systems, exploring <i>how</i> and <i>why</i> political realities unfold. Rich with examples of individual and national social action, this text emphasizes students’ role in the political sphere and equips them to be active and informed participants in civil society. Learn more about what this free, <a href=""https://creativecommons.org/licenses/by/4.0/"">openly-licensed</a> textbook has to offer you and your students.</p><p data-block-key=""fgrk8""></p><p data-block-key=""3eei6"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
"introduction-sociology","retired","Introduction to Sociology","Introduction to Sociology","Introduction to Sociology",,"2012-06-21","2020-09-28T13:46:35.746000-05:00",,"Social Sciences",false,"https://assets.openstax.org/oscms-prodcms/media/documents/Head_IntroSociology1e.svg","https://assets.openstax.org/oscms-prodcms/media/documents/sociology_1e.png","yellow","yellow",false,,"978-1-938168-01-7",,,,,,,,,"https://creativecommons.org/licenses/by/4.0/",,,"",,"","","","https://cnx.org/contents/afe4332a-c97f-4fc4-be27-4e4d384a32d8","",false,"",false,"","",,false,true,false,,1704,123904491,"afe4332a-c97f-4fc4-be27-4e4d384a32d8","<p data-block-key=""sqhge""><i>Introduction to Sociology</i> adheres to the scope and sequence of a typical, one-semester introductory sociology course. It offers comprehensive coverage of core concepts, foundational scholars, and emerging theories. The textbook presents section reviews with rich questions, discussions that help students apply their knowledge, and features that draw learners into the discipline in meaningful ways. The second edition has been updated significantly to reflect the latest research and current, relevant examples.<br/></p>"
"introduction-sociology-2e","retired","Introduction to Sociology 2e","Introduction to Sociology","Introduction to Sociology 2e",,"2015-04-24","2016-03-09T09:45:10.304000-06:00","2022-06-27T14:31:00-05:00","Social Sciences",false,"https://assets.openstax.org/oscms-prodcms/media/documents/sociology_2e.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_IntroSociology2e.svg","yellow","yellow",false,"1-938168-41-0","978-1-938168-41-3",,"978-1-59399-584-3","1-947172-11-5","978-1-947172-11-1","1-938168-97-6","978-1-938168-97-0",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/IntroductionToSociology2e-OP_tbTLqMj.pdf",,"https://www.oercommons.org/groups/openstax-introduction-to-sociology-2e/1056/?__hub_id=27",,"","https://itunes.apple.com/us/book/id1036259585","","https://cnx.org/contents/02040312-72c8-441e-a685-20e9333f3e1d","https://openstax.org/books/introduction-sociology-2e/pages/1-introduction-to-sociology",true,"",false,"https://buyprint.openstax.org/introduction-sociology-2e","https://amzn.to/3i8qMnq",,false,true,false,,,,"02040312-72c8-441e-a685-20e9333f3e1d","<p data-block-key=""yxpbg""><i>Introduction to Sociology 2e</i> adheres to the scope and sequence of a typical, one-semester introductory sociology course. It offers comprehensive coverage of core concepts, foundational scholars, and emerging theories. The textbook presents section reviews with rich questions, discussions that help students apply their knowledge, and features that draw learners into the discipline in meaningful ways. The second edition has been updated significantly to reflect the latest research and current, relevant examples.<br/></p><p data-block-key=""xi0qz"">Changes made in<i> Introduction to Sociology 2e</i> are described in the preface to help instructors transition to the second edition. The first edition of <i>Introduction to Sociology</i> by OpenStax is available in web view <a href=""http://cnx.org/contents/afe4332a-c97f-4fc4-be27-4e4d384a32d8/Introduction-to-Sociology"">here</a>.</p>"
"introduction-sociology-3e","live","Introduction to Sociology 3e","Introduction to Sociology","Introduction to Sociology 3e",,"2021-06-03","2021-05-21T14:48:52.068000-05:00","2023-03-08T12:45:00-06:00","Social Sciences",false,"https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_sociology_3e_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/introduction_to_sociology_3e.svg","blue","yellow",false,,"978-1-711493-98-5",,"978-1-711493-97-8",,"978-1-951693-36-7",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/IntroductiontoSociology3e-WEB_9QTqRGQ.pdf",,"https://www.oercommons.org/groups/openstax-introduction-to-sociology-2e/1056/?__hub_id=27",,"","","","https://cnx.org/contents/746f171e-0d6a-4ef2-b69d-367880872f4a","https://openstax.org/books/introduction-sociology-3e/pages/1-introduction",false,"https://www.bookshare.org/browse/book/4778404",false,"","",,false,true,true,,,,"746f171e-0d6a-4ef2-b69d-367880872f4a","<p data-block-key=""q7jxd""><i>Introduction to Sociology 3e</i> aligns to the topics and objectives of many introductory sociology courses. It is arranged in a manner that provides foundational sociological theories and contexts, then progresses through various aspects of human and societal interactions. The new edition is focused on driving meaningful and memorable learning experiences related to critical thinking about society and culture. The text includes comprehensive coverage of core concepts, discussions and data relevant to a diverse audience, and features that draw learners into the discipline in powerful and personal ways. Overall, <i>Introduction to Sociology 3e</i> aims to center the course and discipline as crucial elements for understanding relationships, society, and civic engagement; the authors seek to lay the foundation for students to apply what they learn throughout their lives and careers.<br/><br/></p><p data-block-key=""s4v55"">The authors, reviewers, and the entire team worked to build understanding of the causes and impacts of discrimination and prejudice. <i>Introduction to Sociology 3e</i> contains dozens of examples of discrimination and its outcomes regarding social science, society, institutions, and individuals. The text seeks to strike a balance between confronting the damaging aspects of our culture and history and celebrating those who have driven change and overcome challenges. The core discussion of these topics are present in Chapter 11 on Race and Ethnicity, and Chapter 12 on Gender, Sex, and Sexuality, but their causes and effects are extensively discussed in the context of other topics, including education, law enforcement, government, healthcare, the economy, and so on. Together and when connected by an instructor, these elements have potential for deep and lasting effects.<br/></p><p data-block-key=""8i3tn"">Changes made in <i>Introduction to Sociology 3e</i> are described in the preface to help instructors transition to the third edition. The second edition of <i>Introduction to Sociology</i> by OpenStax is available in web view <a href=""https://openstax.org/books/introduction-sociology-2e/pages/1-introduction-to-sociology"">here</a>.</p>"
"introductory-business-statistics","new_edition_available","Introductory Business Statistics","Business Statistics","Introductory Business Statistics",,"2017-11-29","2017-11-29T16:12:08.916000-06:00","2022-09-16T09:21:00-05:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/IntroductoryBusinessStatistics-bookcard.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_IntroductoryBusinessStatistics_xJ1eY63.svg","light-blue","yellow",false,"1-947172-46-8","978-1-947172-46-3",,"978-1-50669-984-4","1-947172-47-6","978-1-947172-47-0",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/IntroductoryBusinessStatistics-OP.pdf",,"https://www.oercommons.org/groups/openstax-introductory-business-statistics/2052/?__hub_id=27",,"","","","https://cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f","https://openstax.org/books/introductory-business-statistics/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/introductory-business-statistics","https://amzn.to/3slMY26",,false,false,false,,307,7702388,"b56bb9e9-5eb8-48ef-9939-88b1b12ce22f","<p data-block-key=""6f7uk""></p><p data-block-key=""jlr8o""></p><p data-block-key=""up0en""></p><p data-block-key=""wc0bq""><i>Introductory Business Statistics</i> is designed to meet the scope and sequence requirements of the one-semester statistics course for business, economics, and related majors. Core statistical concepts and skills have been augmented with practical business examples, scenarios, and exercises. The result is a meaningful understanding of the discipline, which will serve students in their business careers and real-world experiences.</p><p data-block-key=""7a1y1""></p><p data-block-key=""wc53y""></p><p data-block-key=""lzv4o""></p>"
"introductory-statistics","new_edition_available","Introductory Statistics","Introductory Statistics","Introductory Statistics",,"2013-09-19","2016-03-09T09:49:10.407000-06:00","2023-02-24T10:25:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/statistics.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_IntroductoryStatistics.svg","yellow","yellow",false,"1938168208","978-1-938168-20-8",,"978-1-50669-823-6","1-947172-05-0","978-1-947172-05-0","1-938168-29-1","978-1-938168-29-1",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/IntroductoryStatistics-OP_i6tAI7e.pdf",,"https://www.oercommons.org/groups/openstax-introductory-statistics/1039/?__hub_id=27","https://assets.openstax.org/oscms-prodcms/media/documents/MATH2112Slides_1.zip","Introductory Statistics PowerPoint slides","https://itunes.apple.com/us/book/introductory-statistics/id898910154?mt=13","","https://cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de","https://openstax.org/books/introductory-statistics/pages/1-introduction",true,"http://www.bookshare.org/browse/book/751376",false,"https://buyprint.openstax.org/introductory-statistics","https://amzn.to/39J1AAr",,false,true,false,,1263,68682748,"30189442-6998-4686-ac05-ed152b91b9de","<p data-block-key=""cbe9n""><i>Introductory Statistics</i> follows scope and sequence requirements of a one-semester introduction to statistics course and is geared toward students majoring in fields other than math or engineering. The text assumes some knowledge of intermediate algebra and focuses on statistics application over theory.<i> Introductory Statistics</i> includes innovative practical applications that make the text relevant and accessible, as well as collaborative exercises, technology integration problems, and statistics labs.<br/></p>"
"life-liberty-and-pursuit-happiness","live","Life, Liberty, and the Pursuit of Happiness","LLPH","Life, Liberty and the Pursuit of Happiness",,"2020-07-06","2020-02-10T10:10:12.294000-06:00","2022-07-27T12:35:00-05:00","Humanities",true,"https://assets.openstax.org/oscms-prodcms/media/documents/life_libery_and_the_pursuit_of_happiness_QFfFHz3.svg","https://assets.openstax.org/oscms-prodcms/media/documents/life_liberty_and_the_pursuit_of_happiness_tZrkNAC.svg","light-blue","dark_blue",false,,,,,,,,,,,"https://creativecommons.org/licenses/by/4.0/",,,"https://www.oercommons.org/groups/life-liberty-and-the-pursuit-of-happiness/5088/?__hub_id=27",,"","","","https://cnx.org/contents/36004586-651c-4ded-af87-203aca22d946","https://tutor.openstax.org/",false,"",false,"","",,false,false,true,,,,"36004586-651c-4ded-af87-203aca22d946","<p data-block-key=""foyys""><i>Life, Liberty, and the Pursuit of Happiness</i> is produced through a collaborative publishing agreement between OpenStax and the Bill of Rights Institute. The course is designed to align with the curriculum guidelines for AP U.S. History from the College Board. The full list of authors and reviewers, with their affiliations, can be found in the Preface to the resource.</p><p data-block-key=""4eiy4"">This content is available for students when instructors set up a course in OpenStax Tutor. Visit <a href=""https://openstax.org/openstax-tutor"">www.openstax.org/openstax-tutor</a> to learn more.</p>"
"microbiology","live","Microbiology","Microbiology","Microbiology",,"2016-11-01","2016-04-26T10:39:44.604000-05:00","2023-03-15T13:47:14.148004-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/microbiology.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_Microbiology.svg","light-blue","yellow",false,"1938168143","978-­1-­938168-­14-­7",,"978-1-50669-811-3","1-947172-23-9","978-1-947172-23-4","0-9986257-0-1","978-0-9986257-0-6",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Microbiology-WEB.pdf",,"https://www.oercommons.org/groups/openstax-microbiology/1140/?__hub_id=27",,"","https://itunes.apple.com/us/book/id1195961754","","https://cnx.org/contents/e42bd376-624b-4c0f-972f-e0c57998e765","https://openstax.org/books/microbiology/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/microbiology","https://amzn.to/3bAomwF",,false,true,false,,906,36898552,"e42bd376-624b-4c0f-972f-e0c57998e765","<p data-block-key=""t5lzx""><i>Microbiology</i> covers the scope and sequence requirements for a single-semester microbiology course for non-majors. The book presents the core concepts of microbiology with a focus on applications for careers in allied health. The pedagogical features of the text make the material interesting and accessible while maintaining the career-application focus and scientific rigor inherent in the subject matter. <i>Microbiology</i>’s art program enhances students’ understanding of concepts through clear and effective illustrations, diagrams, and photographs.<br/></p><p data-block-key=""wdtyh""><i>Microbiology</i> is produced through a collaborative publishing agreement between OpenStax and the American Society for Microbiology Press. The book aligns with the curriculum guidelines of the American Society for Microbiology.</p>"
"mikroekonomia-podstawy","live","Mikroekonomia – Podstawy",,,,"2022-09-07","2022-08-25T11:39:14.332000-05:00","2022-09-07T11:00:00-05:00","Social Sciences",false,"https://assets.openstax.org/oscms-prodcms/media/documents/mikroekonomia_square.svg","https://assets.openstax.org/oscms-prodcms/media/documents/mikroekonomia_title_card_2.svg","gray","yellow",false,,"978-83-948838-9-8",,,,"978-83-965824-0-9",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Mikroekonomia-Podstawy-WEB.pdf",,"",,"","","","https://cnx.org/contents/c9cbc0aa-3afa-448b-8048-3ca2e0ee2f6a","https://openstax.org/books/mikroekonomia-podstawy/pages/1-wprowadzenie-do-rozdzialu",false,"",false,"","",,false,true,false,,,,"c9cbc0aa-3afa-448b-8048-3ca2e0ee2f6a","<p data-block-key=""57w4a""><i>Mikroekonomia – Podstawy</i> to polska adaptacja podręcznika <i>Principles of Microeconomics 2e</i>. Publikacja przeznaczona jest dla trwających jeden semestr zajęć z podstaw mikroekonomii. Treść dopasowano pod względem zakresu i układu do praktyki dydaktycznej stosowanej na większości polskich uczelni prowadzących takie zajęcia. Ponadto polskie wydanie wzbogacono o liczne adaptacje kulturowe.</p><p data-block-key=""474v7"">Ze względu na różnorodność terminologii z zakresu mikroekonomii obowiązującej na polskich uczelniach, we współpracy z dydaktykami z siedmiu uczelni w Polsce wprowadziliśmy synonimy terminów w sekcji Kluczowe pojęcia na końcu każdego rozdziału. Zabieg ten sprawia, że podręcznik jest uniwersalny i odnajdzie się w nim student każdej uczelni w Polsce. Mając na uwadze coraz bardziej odczuwalne skutki działalności człowieka na klimat, przygotowaliśmy także dodatkowy rozdział o wpływie katastrofy klimatycznej na rozwój przedsiębiorstw. Dla jasności przekazu i wygody studentów w obecnym wydaniu nie zostały uwzględnione te zagadnienia z Principles of Microeconomics 2e, które na polskich uczelniach typowo są prowadzone na kursie makroekonomii.</p><p data-block-key=""eg4pn"">Publikacja przygotowana została przez OpenStax Poland we współpracy z wykładowcami: Szkoły Głównej Handlowej w Warszawie, Uniwersytetu Gdańskiego, Uniwersytetu Ekonomicznego w Poznaniu, Uniwersytetu Ekonomicznego w Krakowie, Uniwersytetu Ekonomicznego we Wrocławiu, Uniwersytetu Ekonomicznego w Katowicach, Uniwersytetu Łódzkiego oraz Akademii Leona Koźmińskiego.</p><h3 data-block-key=""4tpo1"">Errata</h3><p data-block-key=""4v9p9"">Wszystkie podręczniki OpenStax Poland przechodzą rygorystyczny proces recenzji. Mimo to niektóre błędy mogły zostać przeoczone, co zdarza się w każdej profesjonalnej publikacji. Nasze książki są cyfrowe, dlatego możemy uaktualniać je, gdy zachodzi taka potrzeba. By zaproponować poprawkę, prosimy skorzystać z odnośnika na stronie podręcznika na OpenStax.org. Zgłoszone poprawki są analizowane przez ekspertów i wprowadzane do publikacji przez zespół redakcyjny.</p>"
"organizational-behavior","live","Organizational Behavior","Organizational Behavior","Organizational Behavior",,"2019-06-05","2019-04-15T14:29:41.425000-05:00","2023-02-17T20:18:00-06:00","Business",false,"https://assets.openstax.org/oscms-prodcms/media/documents/organizational_behavior_book_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/organizational_behavior.svg","blue","yellow",false,"1-947172-71-9","978-1-947172-71-5",,"978-1-59399-877-6","1-947172-72-7","978-1-947172-72-2",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/OrganizationalBehavior-OP_TtwWIeQ.pdf",,"https://www.oercommons.org/groups/openstax-organizational-behavior/4546/?__hub_id=27",,"","","","https://cnx.org/contents/2d941ab9-ac5b-4eb8-b21c-965d36a4f296","https://openstax.org/books/organizational-behavior/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/organizational-behavior","",,false,false,false,,221,4733519,"2d941ab9-ac5b-4eb8-b21c-965d36a4f296","<p data-block-key=""cvqwp"">This OpenStax resource aligns to introductory courses in Organizational Behavior. The text presents the theory, concepts, and applications with particular emphasis on the impact that individuals and groups can have on organizational performance and culture. An array of recurring features engages students in entrepreneurial thinking, managing change, using tools/technology, and responsible management.</p>"
"physics","live","Physics","HS Physics","HS Physics",,"2020-03-26","2020-03-24T16:06:28.808000-05:00","2023-01-13T08:36:00-06:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/high_school_physics_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/high_school_physics.svg","blue","green",false,,"978-1-975076-51-1",,"978-1-975076-50-4",,"978-1-951693-21-3",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Physics-WEB_Sab7RrQ.pdf",,"https://www.oercommons.org/groups/openstax-physics/4827/?__hub_id=27",,"","","","https://cnx.org/contents/cce64fde-f448-43b8-ae88-27705cceb0da","https://openstax.org/books/physics/pages/1-introduction",false,"",false,"https://www.amazon.com/dp/1975076516/","",,false,true,false,,594,6080740,"cce64fde-f448-43b8-ae88-27705cceb0da","<p data-block-key=""9qfdr"">This <i>Physics</i> resource was developed under the guidance and support of experienced high school teachers and subject matter experts. It is presented here in multiple formats: PDF, online, and low-cost print. Beginning with an introduction to physics and scientific processes and followed by chapters focused on motion, mechanics, thermodynamics, waves, and light, this book incorporates a variety of tools to engage and inspire students. Hands-on labs, worked examples, and highlights of how physics is applicable everywhere in the natural world are embedded throughout the book, and each chapter incorporates a variety of assessment types such as practice problems, performance tasks, and traditional multiple choice items. Additional instructor resources are included as well, including direct instruction presentations and a solutions manual.</p>"
"prealgebra","retired","Prealgebra","Prealgebra","Prealgebra",,"2015-09-25","2016-03-09T10:00:11.398000-06:00","2020-04-22T08:16:00-05:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/prealgebra_1.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_Prealgebra.svg","deep-green","yellow",false,"1938168992","978-1-938168-99-4",,"978-1-50669-819-9","1-947172-00-X","978-1-947172-00-5",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Prealgebra-OP_oYhyXVE.pdf",,"https://www.oercommons.org/groups/openstax-prealgebra/1077/?__hub_id=27",,"","","","https://cnx.org/contents/caa57dab-41c7-455e-bd6f-f443cda5519c","https://openstax.org/books/prealgebra/pages/1-introduction",true,"",false,"https://www.amazon.com/Prealgebra-Lynn-Marecek/dp/1938168992","https://www.amazon.com/Prealgebra-Lynn-Marecek-ebook/dp/B075FFXLNT/ref=tmm_kin_title_0?_encoding=UTF8&qid=1506696008&sr=8-2-fkmr0&dpID=41o5wIKFoGL&preST=_SX342_QL70_&dpSrc=detail",,false,false,false,,365,10731110,"caa57dab-41c7-455e-bd6f-f443cda5519c","<p data-block-key=""j0vwv""></p><p data-block-key=""w2tep""><i>Prealgebra</i> is designed to meet scope and sequence requirements for a one-semester prealgebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text introduces the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. Each topic builds upon previously developed material to demonstrate the cohesiveness and structure of mathematics.<br/></p>"
"prealgebra-2e","live","Prealgebra 2e","Prealgebra","Prealgebra",,"2020-03-11","2020-02-28T14:53:08.853000-06:00","2023-03-15T15:28:10.383692-05:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/prealgebra_2e_web_card_FoepHLS.svg","https://assets.openstax.org/oscms-prodcms/media/documents/prealgebra_2e.svg","yellow","green",false,,"978-0-9986257-9-9",,"978-1-975076-43-6",,"978-1-951693-19-0",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Prealgebra2e-WEB.pdf",,"https://www.oercommons.org/groups/openstax-prealgebra/1077/?__hub_id=27",,"","","","https://cnx.org/contents/f0fa90be-fca8-43c9-9aad-715c0a2cee2b","https://openstax.org/books/prealgebra-2e/pages/1-introduction",false,"",false,"https://www.amazon.com/dp/0998625795/","",,false,false,false,"2020-03-11T00:00:00-05:00",365,10731110,"f0fa90be-fca8-43c9-9aad-715c0a2cee2b","<p data-block-key=""0qvxp""><i>Prealgebra 2e</i> is designed to meet scope and sequence requirements for a one-semester prealgebra or basic math course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text introduces the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. Each topic builds upon previously developed material to demonstrate the cohesiveness and structure of mathematics.</p><p data-block-key=""a7ijn""><br/>The second edition contains detailed updates and accuracy revisions to address comments and suggestions from users. Dozens of faculty experts worked through the text, exercises and problems, graphics, and solutions to identify areas needing improvement. Though the authors made significant changes and enhancements, exercise and problem numbers remain nearly the same in order to ensure a smooth transition for faculty. The first edition of <i>Prealgebra</i> by OpenStax is available in web view <a href=""https://openstax.org/books/prealgebra/pages/1-introduction"">here</a>.</p>"
"precalculus","retired","Precalculus","Precalc","Precalculus",,"2014-10-23","2016-03-09T09:50:20.604000-06:00","2022-01-10T14:44:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/precalculus.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_Precalculus.svg","orange","yellow",false,"1-938168-34-8","978-1-938168-34-5",,"978-1-50669-812-0","1-947172-06-9","978-1-947172-06-7","0-9986257-5-2","978-0-9986257-5-1",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Precalculus-OP_9wwF7YT.pdf",,"https://www.oercommons.org/groups/openstax-precalculus/1076/?__hub_id=27",,"","https://itunes.apple.com/us/book/precalculus/id1318396231?ls=1&mt=13","","https://cnx.org/contents/fd53eae1-fa23-47c7-bb1b-972349835c3c","https://openstax.org/books/precalculus/pages/1-introduction-to-functions",true,"https://www.bookshare.org/browse/book/2292178?returnPath=L3NlYXJjaD9tb2R1bGVOYW1lPXB1YmxpYyZsaWJyYXJ5VG9TZWFyY2g9Ym9va3NoYXJlJmF1dGhvckZpbHRlcj1PcGVuU3RheCZhdXRob3I9T3BlblN0YXgmc29ydE9yZGVyPVJFTEVWQU",false,"https://buyprint.openstax.org/precalculus","https://amzn.to/3sgNUVH",,false,false,false,,,,"fd53eae1-fa23-47c7-bb1b-972349835c3c","<p data-block-key=""i8aka""><i>Precalculus</i> is adaptable and designed to fit the needs of a variety of precalculus courses. It is a comprehensive text that covers more ground than a typical one- or two-semester college-level precalculus course. The content is organized by clearly-defined learning objectives and includes worked examples that demonstrate problem-solving approaches in an accessible way.<br/></p>"
